filepath,label,sha256
Training/glioma/Tr-glTr_0000.jpg,glioma,18a7abdb3b9aaa94fa5b869c3c5f607e374209812c759b255fe3c0c8d2ba6981
Training/glioma/Tr-glTr_0002.jpg,glioma,928b812bba938a8ca461e85fd231accd917e195b6f482114e3f57103285847c2
Training/glioma/Tr-glTr_0003.jpg,glioma,444bae1e124b294c0d77c7bcf7270d61c8cdc0ea61e97d3a58fba3ac7c21d15a
Training/glioma/Tr-glTr_0004.jpg,glioma,2d4bfd63e364c817381a73f6354572213a1a1b1665c85e10ce977ee92bc6a17e
Training/glioma/Tr-glTr_0005.jpg,glioma,a2d02c26384bc3481f47aeff777a9003bf7a7cc242a30d326cf4a5717f6e597c
Training/glioma/Tr-glTr_0006.jpg,glioma,cc72bdbe5b14b0ec86d1b240a5c02a2ad437c4ef27f9463448c101caa845352f
Training/glioma/Tr-glTr_0007.jpg,glioma,dcb05cd082c7b8932218766ef3bfb67e94e26f801a20647f5dc838b59a67ac4c
Training/glioma/Tr-glTr_0009.jpg,glioma,043a2e8857ac164f6228500db9060a24c3b5ac99ffddcbc15c7342b09f35fbc9
Training/glioma/Tr-gl_0010.jpg,glioma,81e9fe962fd5d9d395e58136c220c68e3a184559ac4e72227e23a5c9ec80dc48
Training/glioma/Tr-gl_0011.jpg,glioma,6afa32ba6a1ef582cc869d8cae9a582ec8ccdde307ce923a7bee83f705a9d235
Training/glioma/Tr-gl_0012.jpg,glioma,5c6227da4a215de8e9e292d38bef18ea26feef4ee9d168aa9221c7d5c69563ae
Training/glioma/Tr-gl_0015.jpg,glioma,56405c10517d5ff97ded43ff3d2b07e0b5a7a62cb7bc4c8b148e4dd9e662c2cd
Training/glioma/Tr-gl_0017.jpg,glioma,849d55bbe3f1dc7dd1b0c65a051152b493dee5784225c0ddf164dda00ede02dc
Training/glioma/Tr-gl_0018.jpg,glioma,3833c403ef39aa58acf74ad5ec5425a2bf2a2b6e6ee0823b8913d68a21e316bf
Training/glioma/Tr-gl_0019.jpg,glioma,50f5fb7d7114a9405ec48fd0efc10362d3a6807555446d69aaeb60b5909a0666
Training/glioma/Tr-gl_0022.jpg,glioma,6466c2a0f15916e089926fbeb1dc1e09bcd990bd5f0651c819d3039c6a0636b3
Training/glioma/Tr-gl_0023.jpg,glioma,6a3769a0d08cce970c56d5a03f747f7fd70bbcc73e660a2adfd7a10bcde805a8
