epoch,accuracy,loss,val_accuracy,val_loss
1,0.5933838486671448,0.927257776260376,0.4067952334880829,1.616582989692688
2,0.7229496836662292,0.692338228225708,0.7768595218658447,0.5576651096343994
3,0.7767057418823242,0.5825637578964233,0.8374655842781067,0.4447551369667053
4,0.7973811030387878,0.49545785784721375,0.8007346391677856,0.5967904329299927
5,0.835286021232605,0.42743903398513794,0.8824609518051147,0.32640671730041504
6,0.8545830249786377,0.3804023265838623,0.8723599910736084,0.3518042266368866
7,0.8658396601676941,0.34252119064331055,0.8842975497245789,0.3157941997051239
8,0.8828394412994385,0.3121930658817291,0.9100092053413391,0.2754265367984772
9,0.8996094465255737,0.2728009521961212,0.8943985104560852,0.2757464349269867
10,0.9000689387321472,0.2532120645046234,0.9035812616348267,0.23910225927829742
11,0.9069607257843018,0.242467001080513,0.8668503165245056,0.42543306946754456
12,0.9191362261772156,0.20422163605690002,0.9302111864089966,0.21554751694202423
13,0.9317712187767029,0.18579164147377014,0.8943985104560852,0.2801072597503662
14,0.8793935179710388,0.3084609806537628,0.9136822819709778,0.22311998903751373
15,0.9329198002815247,0.17259757220745087,0.9063360691070557,0.24477656185626984
16,0.9411900043487549,0.17019985616207123,0.9357208609580994,0.17761148512363434
17,0.9533655047416687,0.13909989595413208,0.9439852833747864,0.16908152401447296
18,0.9464737176895142,0.14489874243736267,0.908172607421875,0.28486841917037964
19,0.9558925032615662,0.12417444586753845,0.9403122067451477,0.18809275329113007
20,0.9588789343833923,0.11065564304590225,0.9118457436561584,0.3489011526107788
