epoch,accuracy,loss,val_accuracy,val_loss
1,0.6124511957168579,0.8888794183731079,0.5941230654716492,0.9629796147346497
2,0.7599356770515442,0.5971603393554688,0.6611570119857788,0.8822236061096191
3,0.8152998089790344,0.47651487588882446,0.8484848737716675,0.41421395540237427
4,0.8428670167922974,0.40810197591781616,0.8640955090522766,0.3578488826751709
5,0.8690558075904846,0.33848509192466736,0.8246097564697266,0.49665457010269165
6,0.8874339461326599,0.3027375042438507,0.899908185005188,0.2587108910083771
7,0.8996094465255737,0.27057912945747375,0.8650137782096863,0.4101105034351349
8,0.9147714376449585,0.23773109912872314,0.9127640128135681,0.23557986319065094
9,0.927406370639801,0.20091784000396729,0.9210284948348999,0.2142595797777176
10,0.9290144443511963,0.19436033070087433,0.8934802412986755,0.32050225138664246
11,0.9363657236099243,0.17348206043243408,0.9155188202857971,0.2543187141418457
12,0.9483115077018738,0.13760124146938324,0.9494949579238892,0.15433786809444427
13,0.9510682225227356,0.13744504749774933,0.8925619721412659,0.290448397397995
14,0.9120147228240967,0.23243452608585358,0.9320477247238159,0.21009919047355652
15,0.9584195017814636,0.11148401349782944,0.9357208609580994,0.2005234658718109
16,0.960716724395752,0.11247526854276657,0.966023862361908,0.12576526403427124
17,0.9646220803260803,0.09223896265029907,0.9669421315193176,0.12820473313331604
18,0.968757152557373,0.07900602370500565,0.9375573992729187,0.2127366065979004
19,0.9676085710525513,0.09295284003019333,0.9568411111831665,0.15237757563591003
20,0.9728922843933105,0.0828043669462204,0.9559228420257568,0.15729352831840515
