epoch,accuracy,loss,val_accuracy,val_loss
1,0.47898000478744507,1.1031898260116577,0.3801652789115906,1.6372677087783813
2,0.6861934065818787,0.7629485130310059,0.6951331496238708,0.7344515323638916
3,0.7399494647979736,0.6508564352989197,0.7089072465896606,0.773710310459137
4,0.7583276033401489,0.6069261431694031,0.6382001638412476,1.1457659006118774
5,0.7930163145065308,0.5422700643539429,0.7410468459129333,0.6197493076324463
6,0.8063404560089111,0.4869807958602905,0.7970615029335022,0.5202315449714661
7,0.8141511678695679,0.47047775983810425,0.7869605422019958,0.540715217590332
8,0.8215023875236511,0.4345410466194153,0.8530762195587158,0.3842269778251648
9,0.8444750905036926,0.40134197473526,0.8668503165245056,0.3632600009441376
10,0.8442453742027283,0.3966277539730072,0.8907254338264465,0.3220723569393158
11,0.859866738319397,0.3600301146507263,0.8071625232696533,0.5015460848808289
12,0.8718125224113464,0.3356304466724396,0.868686854839325,0.3491416573524475
13,0.8826096653938293,0.30886176228523254,0.8787878751754761,0.30788251757621765
14,0.8826096653938293,0.30214038491249084,0.8888888955116272,0.28396061062812805
15,0.8982310891151428,0.26875635981559753,0.902662992477417,0.28849172592163086
16,0.8945554494857788,0.2710711359977722,0.8815426826477051,0.33485129475593567
17,0.912244439125061,0.23533909022808075,0.9247015714645386,0.23894406855106354
18,0.9145417213439941,0.23178532719612122,0.9265381097793579,0.21072080731391907
19,0.9255685806274414,0.1996156871318817,0.9035812616348267,0.28856542706489563
20,0.9276360869407654,0.18865907192230225,0.9146005511283875,0.24257732927799225
